,stepNo,text,useStove,leavable,duration,start,end
0,0.0,4個,False,False,0.0,3.5,4.5
1,1.0,皮をむく,False,False,0.0,5.5,10.0
2,2.0,塩(分量タむ,False,False,0.0,11.0,11.0
3,3.0,塩(分量外)で揉む,False,False,0.0,11.5,13.5
4,4.0,1水,False,False,0.0,14.5,14.5
5,5.0,水でよく洗う,False,False,0.0,15.0,18.5
6,6.0,まいたけ1パック,False,False,0.0,19.5,20.5
7,7.0,根元を切り落とす,False,False,0.0,21.5,24.0
8,8.0,ほぐす,False,False,0.0,24.5,27.0
9,9.0,Lilluごぼう1/2本(20cm),False,False,0.0,28.0,29.0
10,10.0,0斜め切りにする,False,False,0.0,30.0,32.5
11,11.0,水にさらす,False,False,0.0,33.5,34.0
12,12.0,軽く揉んで水気を切る,False,False,0.0,35.0,37.0
13,13.0,ねぎ1本,False,False,0.0,38.0,39.5
14,14.0,斜め切りにする,False,False,0.0,40.5,43.5
15,15.0,サラダ油大さじ1,False,False,0.0,44.5,46.5
16,16.0,200g,False,False,0.0,47.5,49.0
17,17.0,色が変わるまで中火で炒める,False,False,0.0,50.0,52.0
18,18.0,取り出す,False,False,0.0,53.0,53.5
19,19.0,600cc,False,False,0.0,54.5,57.0
20,20.0,大さじ3,False,False,0.0,58.0,59.5
21,21.0,しょうが112かけ,False,False,0.0,60.5,61.0
22,22.0,れる,False,False,0.0,62.0,63.0
23,23.0,中火で煮立たせる,False,False,0.0,64.0,65.0
24,24.0,まいたけを加える,False,False,0.0,65.5,66.5
25,25.0,ふたをする,False,False,0.0,67.0,67.5
26,26.0,芋が柔らかくなるまで弱火でTO分煮る,False,False,0.0,68.0,70.0
27,27.0,みりんさじ4,False,False,0.0,71.0,71.0
28,28.0,大さじ4,False,False,0.0,71.5,71.5
29,29.0,みりん大さじ4,False,False,0.0,72.0,73.0
30,30.0,しょうゆ大さじ4,False,False,0.0,74.0,76.5
31,31.0,牛肉を加える,False,False,0.0,77.5,78.0
32,32.0,肉を加える,False,False,0.0,78.5,79.0
33,33.0,ねぎを加える.,False,False,0.0,81.5,81.5
34,34.0,弱めの中火で7~8分煮る,False,False,8.0,82.5,85.0
