,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ささみ1本,False,False,0.0,4.0,5.0
1,1.0,酒小さじ2,False,False,0.0,5.5,7.0
2,2.0,ふんわりラップをする,False,False,0.0,7.5,8.0
3,3.0,600Wの,False,False,0.0,9.0,9.0
4,4.0,粗熱をとってほぐす,False,False,0.0,12.0,14.0
5,5.0,ねぎ5cm(白い部分),False,False,0.0,15.0,15.5
6,6.0,輪切りにする,False,False,0.0,16.5,19.0
7,7.0,スープジャーを用意する,False,False,0.0,19.5,20.5
8,8.0,ささみを入れる,False,False,0.0,21.5,22.0
9,9.0,春雨10g(半分に切る),False,False,0.0,23.0,24.5
10,10.0,ねぎを加える,False,False,0.0,25.5,26.5
11,11.0,しょうゆ小さじ1|,False,False,0.0,27.0,28.5
12,12.0,和風顆粒だし小さじ1/2,False,False,0.0,29.5,30.5
13,13.0,小さじ1/4,False,False,0.0,31.0,32.0
14,14.0,おろししょうが小さじ1/2,False,False,0.0,33.0,34.0
15,15.0,300cc,False,False,0.0,36.0,37.0
16,16.0,混ぜる,False,False,0.0,38.0,40.5
17,17.0,ふたをして完成!,False,False,0.0,41.5,43.5
