,stepNo,text,useStove,leavable,duration,start,end
0,0.0,卵1個,False,False,0.0,6.0,6.0
1,1.0,砂糖大さじ2,False,False,0.0,7.0,8.0
2,2.0,1砂糖大さじ2,False,False,0.0,8.5,9.5
3,3.0,混ぜる,False,False,0.0,10.0,12.0
4,4.0,牛乳100cc,False,False,0.0,13.0,13.0
5,5.0,1牛乳100cc,False,False,0.0,13.5,13.5
6,6.0,キ孚100o0cC,False,False,0.0,14.0,14.0
7,7.0,ooCC,False,False,0.0,14.5,14.5
8,8.0,混ぜる,False,False,0.0,15.5,18.0
9,9.0,サラダ油(分量外)をぬる,False,False,0.0,19.0,19.0
10,10.0,13サラダ油(分量外)をぬる,False,False,0.0,19.5,21.0
11,11.0,食パンの耳20本,False,False,0.0,22.0,23.0
12,12.0,円状にしきつめる,False,False,0.0,24.0,26.5
13,13.0,卵液を加えて5分浸す,False,False,5.0,27.5,30.5
14,14.0,ふんわりとラップをする,False,False,0.0,31.0,32.5
15,15.0,レンジで,False,False,0.0,33.0,34.0
16,16.0,バタ10g,False,False,0.0,35.0,35.0
17,17.0,10g,False,False,0.0,35.5,35.5
18,18.0,バター10g,False,False,0.0,36.0,36.0
19,19.0,パを入れる,False,False,0.0,37.0,37.0
20,20.0,パンの耳を入れる,False,False,0.0,37.5,39.0
21,21.0,火で両面がこんがりど色がつくまで,False,False,0.0,40.0,40.5
22,22.0,中火で両面がこんがりと焼き色がつくまで焼く,False,False,0.0,41.0,41.0
