,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ねぎ1本,False,False,0.0,3.5,4.5
1,1.0,5cm幅に切る,False,False,0.0,5.5,6.5
2,2.0,縦に切り込みを入れて芯を取る,False,False,0.0,7.5,10.5
3,3.0,千切りにする,False,False,0.0,12.0,14.0
4,4.0,水に5分さらす,False,False,5.0,15.0,17.5
5,5.0,水気をきる,False,False,0.0,18.5,19.5
6,6.0,きゅうり1本,False,False,0.0,20.5,22.0
7,7.0,斜め薄切りにして千切りにする,False,False,0.0,22.5,26.0
8,8.0,塩(分量外沙々),False,False,0.0,27.0,27.0
9,9.0,塩(分量朱少々),False,False,0.0,27.5,28.0
10,10.0,塩(分量タ(少々),False,False,0.0,28.5,28.5
11,11.0,5分置いて水気をふく,False,False,5.0,29.5,30.5
12,12.0,ねぎときゅうりを入れる,False,False,0.0,31.5,33.0
13,13.0,小さじ1,False,False,0.0,34.0,35.0
14,14.0,しょうゆ小さじ2,False,False,0.0,36.0,37.5
15,15.0,ごま油小さじ1,False,False,0.0,38.5,39.5
16,16.0,ラー油小さじ1/2,False,False,0.0,40.5,41.5
17,17.0,和えて完成!,False,False,0.0,42.5,45.0
