,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ハム4枚,False,False,0.0,4.0,5.0
1,1.0,食べやすい大きさに切る,False,False,0.0,6.0,9.5
2,2.0,ほうれん草1袋,False,False,0.0,12.5,13.5
3,3.0,根本を切る,False,False,0.0,14.0,15.5
4,4.0,ラップで包む,False,False,0.0,16.5,17.0
5,5.0,600Wのレンジで1分30秒,False,False,1.0,18.0,19.0
6,6.0,水にとっを冷ます,False,False,0.0,21.0,21.5
7,7.0,水にとづで冷ます,False,False,0.0,22.0,23.0
8,8.0,水気をしぼる,False,False,0.0,24.5,27.0
9,9.0,3cm幅に切る,False,False,0.0,28.0,33.0
10,10.0,湯を沸かす,False,False,0.0,36.0,37.0
11,11.0,200g,False,False,0.0,38.0,38.0
12,12.0,スパゲッティ00g,False,False,0.0,38.5,38.5
13,13.0,パゲッティ200g,False,False,0.0,39.0,39.5
14,14.0,表記時間通りにゆでる,False,False,0.0,40.0,41.5
15,15.0,水気を切る,False,False,0.0,42.5,45.0
16,16.0,バター20g,False,False,0.0,45.5,45.5
17,17.0,20g,False,False,0.0,46.0,46.0
18,18.0,IS20g,False,False,0.0,46.5,46.5
19,19.0,バター20g,False,False,0.0,47.0,48.0
20,20.0,熱す,False,False,0.0,48.5,48.5
21,21.0,熱する,False,False,0.0,49.0,50.5
22,22.0,ハムを入れる,False,False,0.0,51.0,51.0
23,23.0,れる,False,False,0.0,51.5,52.5
24,24.0,ほうれん草を!,False,False,0.0,53.5,53.5
25,25.0,ほうれ加え,False,False,0.0,54.0,54.0
26,26.0,ほうれんa加え,False,False,0.0,54.5,54.5
27,27.0,ほうれん草える,False,False,0.0,55.0,55.0
28,28.0,火でほうれしんなりするまで。める,False,False,0.0,56.0,58.5
29,29.0,大さじ2,False,False,0.0,60.0,60.0
30,30.0,薄力粉大さじ2,False,False,0.0,60.5,61.5
31,31.0,ぽさがなくなる混ぜ,False,False,0.0,62.5,64.0
32,32.0,粉っぽさがなくなるまでせ,False,False,0.0,64.5,64.5
33,33.0,牛乳300CC,False,False,0.0,65.5,66.5
34,34.0,少しずつ加え,False,False,0.0,67.5,69.0
35,35.0,っと混ぜながらとろみがつくまで混ぜる,False,False,0.0,70.0,73.0
36,36.0,スパゲッティを加え,False,False,0.0,82.0,82.0
37,37.0,パゲッティを加える,False,False,0.0,84.0,84.0
38,38.0,混ぜる,False,False,0.0,85.5,86.0
