,stepNo,text,useStove,leavable,duration,start,end
0,0.0,さっぱり和風パスタの,False,False,0.0,3.5,3.5
1,1.0,野沢菜漬け60g,False,False,0.0,5.0,6.0
2,2.0,食べやすい大きさに切る,False,False,0.0,7.0,9.0
3,3.0,にんにく1かけ,False,False,0.0,10.5,12.0
4,4.0,半分に切る,False,False,0.0,13.0,14.5
5,5.0,芯を取り除く,False,False,0.0,15.0,18.5
6,6.0,包丁でつぶす,False,False,0.0,19.5,21.0
7,7.0,ゆでだこ100g,False,False,0.0,25.0,26.5
8,8.0,口大に切る,False,False,0.0,27.5,30.0
9,9.0,鍋に湯をわかす,True,True,0.0,31.0,31.5
10,10.0,大さじ1(分量外),False,False,0.0,32.0,33.0
11,11.0,スパゲティ160g,False,False,0.0,34.5,35.0
12,12.0,袋の表記時間より1分短くゆでる,False,False,1.0,36.5,39.0
13,13.0,オリーブオイル大さじ2,False,False,0.0,41.0,42.5
14,14.0,にんにくを入れる,False,False,0.0,44.5,45.0
15,15.0,中火で熱する,False,False,0.0,46.5,48.0
16,16.0,香りが立ってきたら野沢菜漬けを入れる,False,False,0.0,49.5,51.0
17,17.0,及たこを加える,False,False,0.0,52.0,53.5
18,18.0,唐辛子輪切り)小さじ1/2,False,False,0.0,54.5,55.5
19,19.0,昆布茶小さじ1/2,False,False,0.0,56.5,57.5
20,20.0,炒める,False,False,0.0,58.5,59.0
21,21.0,スパゲティを加える,False,False,0.0,62.5,63.0
22,22.0,0るを,False,False,0.0,63.5,63.5
23,23.0,スパゲテネを加える,False,False,0.0,64.0,64.0
