,stepNo,text,useStove,leavable,duration,start,end
0,0.0,玉ねぎ1/4個,False,False,0.0,4.0,4.5
1,1.0,みじん切りにする,False,False,0.0,5.0,7.5
2,2.0,にんにく1かけ,False,False,0.0,8.0,8.5
3,3.0,みじん切りにする,False,False,0.0,9.5,11.0
4,4.0,-コもも肉1枚(350g),False,False,0.0,12.0,13.0
5,5.0,筋を切る,False,False,0.0,14.0,16.0
6,6.0,半分に切る,False,False,0.0,17.0,19.0
7,7.0,塩こしょう少,False,False,0.0,20.0,21.0
8,8.0,両面に塩こしょうをふる,False,False,0.0,22.0,25.0
9,9.0,パン粉ソース玉ねぎを入れる,False,False,0.0,27.5,29.0
10,10.0,サラ小さじ2,False,False,0.0,50.5,50.5
11,11.0,サラダ油小さじ2,False,False,0.0,51.0,52.0
12,12.0,皮目を下にして中火で焼く,False,False,0.0,53.0,54.0
13,13.0,裏返す,False,False,0.0,55.0,59.0
14,14.0,ふたをして5分焼く,False,False,5.0,60.0,64.5
15,15.0,火が通ったら取り出す,False,False,0.0,65.5,66.0
16,16.0,i通ったら取り出す,False,False,0.0,66.5,68.0
17,17.0,火が通。だら取り出す,False,False,0.0,68.5,69.0
18,18.0,火が通ったら取り出す,False,False,0.0,69.5,69.5
19,19.0,天板におきパン粉ソースモ広げる,False,False,0.0,70.0,70.0
20,20.0,天板ン粉ソを広げる,False,False,0.0,70.5,76.5
21,21.0,トースターで|10分,False,False,10.0,77.0,78.0
