,stepNo,text,useStove,leavable,duration,start,end
0,0.0,生鮭2切れ,False,False,0.0,4.0,4.5
1,1.0,一口大に切る,False,False,0.0,5.5,8.0
2,2.0,塩里,False,False,0.0,9.0,9.0
3,3.0,塩適量,False,False,0.0,9.5,9.5
4,4.0,適量,False,False,0.0,10.0,10.5
5,5.0,こしょう適量,False,False,0.0,11.0,12.5
6,6.0,裏返す,False,False,0.0,13.5,15.0
7,7.0,両面にぷらて5分おく,False,False,5.0,16.0,20.0
8,8.0,水気を拭き取る,False,False,0.0,22.0,22.0
9,9.0,気を拭き取る,False,False,0.0,22.5,22.5
10,10.0,水気を拭き取る,False,False,0.0,23.5,23.5
11,11.0,薄力粉適量,False,False,0.0,24.0,24.0
12,12.0,薄カ粉里,False,False,0.0,24.5,25.0
13,13.0,薄力粉適量,False,False,0.0,25.5,27.0
14,14.0,裏返す,False,False,0.0,27.5,28.5
15,15.0,ΠΛにまぶす,False,False,0.0,29.5,29.5
16,16.0,両面にまぶす,False,False,0.0,30.0,31.0
17,17.0,玉ねぎ1/2Li,False,False,0.0,34.0,34.5
18,18.0,薄切りにする,False,False,0.0,35.5,37.5
19,19.0,ほうれん草1/2袋,False,False,0.0,38.0,39.0
20,20.0,根元を切り落とす,False,False,0.0,40.0,41.0
21,21.0,食べやすい大きさに切る,False,False,0.0,42.0,44.0
22,22.0,弱めの中火で両面焼く,False,False,0.0,47.0,51.0
23,23.0,火が通ったら取り出す,False,False,0.0,52.0,53.0
24,24.0,10g,False,False,0.0,54.0,55.0
25,25.0,玉ねぎを加える,False,False,0.0,55.5,56.5
26,26.0,kで炒める,False,False,0.0,57.5,59.5
27,27.0,ほうれん草を加える,False,False,0.0,60.0,61.0
28,28.0,しんなりするまで炒める,False,False,0.0,61.5,63.5
29,29.0,め合わせる,False,False,0.0,66.5,68.5
30,30.0,200cc,False,False,0.0,69.5,69.5
31,31.0,乳200c,False,False,0.0,70.0,71.0
32,32.0,200cc,False,False,0.0,71.5,72.0
33,33.0,大さじ1,False,False,0.0,73.0,73.0
34,34.0,適量,False,False,0.0,75.5,77.0
35,35.0,るみがつくまで煮る,False,False,0.0,77.5,79.5
36,36.0,白どんぶ,False,False,0.0,80.5,82.0
37,37.0,混ぜる,False,False,0.0,82.5,82.5
38,38.0,く混ぜる,False,False,0.0,83.0,83.0
39,39.0,圭を入れる,False,False,0.0,86.0,86.5
40,40.0,適量,False,False,0.0,87.5,89.0
41,41.0,弱火で5分ほど煮る,False,False,5.0,90.0,93.0
