,stepNo,text,useStove,leavable,duration,start,end
0,0.0,さつまいも1/2本(100g),False,False,0.0,3.5,5.0
1,1.0,食べやすい大きさに切る,False,False,0.0,5.5,8.0
2,2.0,水にさらす,False,False,0.0,9.5,11.0
3,3.0,水気をきる,False,False,0.0,12.0,14.0
4,4.0,ふんわりとラップをする,False,False,0.0,16.0,17.0
5,5.0,600Wのレンジで3分,False,False,3.0,18.0,19.0
6,6.0,玉ねぎ1/4個,False,False,0.0,19.5,20.5
7,7.0,みじん切りにする1,False,False,0.0,21.5,23.5
8,8.0,栗の甘露煮50g,False,False,0.0,24.5,25.5
9,9.0,口大に切る,False,False,0.0,26.5,28.5
10,10.0,鶏もも肉100g,False,False,0.0,31.5,32.5
11,11.0,1口大に切る,False,False,0.0,33.0,35.0
12,12.0,あたたかいごはんお茶碗2杯,False,False,0.0,36.0,36.0
13,13.0,バターライスあたたかいごはんお茶碗2杯,False,False,0.0,36.5,37.0
14,14.0,サラダ油大さじ,False,False,0.0,47.0,47.5
15,15.0,鶏肉を加える,False,False,0.0,50.0,51.5
16,16.0,玉ねぎを加える,False,False,0.0,52.5,53.0
17,17.0,鶏肉に火が通るま中火で炒める,False,False,0.0,54.5,56.0
18,18.0,つまいもを加える,False,False,0.0,57.0,57.5
19,19.0,さつまいもを加える,False,False,0.0,58.0,58.5
20,20.0,10g,False,False,0.0,59.5,59.5
21,21.0,溶けるまで炒める,False,False,0.0,62.0,65.0
22,22.0,薄カ粉さじ2,False,False,0.0,66.0,67.5
23,23.0,粉っぽさがなくなるチで炒める,False,False,0.0,68.0,68.0
24,24.0,、粉っぽさがなくなるまで炒める,False,False,0.0,69.0,69.0
25,25.0,粉っぽさがなくなるまで炒め,False,False,0.0,69.5,70.5
26,26.0,300cc,False,False,0.0,72.0,73.5
27,27.0,とろみがつくまで混ぜながら加熱する,False,False,0.0,75.0,76.0
28,28.0,小さじ1/2,False,False,0.0,79.5,81.0
29,29.0,こしょう少々,False,False,0.0,81.5,82.5
30,30.0,軽く混ぜる,False,False,0.0,83.5,86.0
31,31.0,バターライスを敷き詰める,False,False,0.0,87.0,88.5
32,32.0,栗をちらす,False,False,0.0,90.0,91.5
33,33.0,ソースをかける,False,False,0.0,92.5,94.5
34,34.0,ピザ用チーズひとつかみ,False,False,0.0,95.5,97.0
35,35.0,粉チーズ天さじ1,False,False,0.0,98.0,100.0
36,36.0,トースターでこんがり焼き色がつくまで焼く,False,False,0.0,102.5,103.5
37,37.0,パセリ適量,False,False,0.0,106.0,106.5
38,38.0,ちらして完成!,False,False,0.0,107.0,108.0
