,stepNo,text,useStove,leavable,duration,start,end
0,0.0,キアベッ2枚,False,False,0.0,4.0,4.5
1,1.0,一口大に切る,False,False,0.0,6.0,7.5
2,2.0,サラダ油大さじ1/2,False,False,0.0,9.0,10.0
3,3.0,豚ひき肉70g,False,False,0.0,11.0,12.0
4,4.0,肉の色が変わる놓で中火で炒める,False,False,0.0,13.0,15.5
5,5.0,キャベツを加える,False,False,0.0,16.5,17.5
6,6.0,もやし114袋,False,False,0.0,18.5,19.5
7,7.0,がまわるまで炒める,False,False,0.0,21.0,22.5
8,8.0,コーン缶1/4缸40g),False,False,0.0,23.5,24.0
9,9.0,大さじ1,False,False,0.0,25.5,26.0
10,10.0,300cc,False,False,0.0,27.0,28.0
11,11.0,5分煮込む,False,False,5.0,29.0,31.5
12,12.0,みそ大さじ1と1/2,False,False,0.0,32.5,33.5
13,13.0,混ぜ入れる,False,False,0.0,34.0,36.0
14,14.0,うどん(a,False,False,0.0,37.0,38.0
15,15.0,袋の表記時間通りゆでる,False,False,0.0,39.5,42.0
16,16.0,ょうをふバタをの完成!元,False,False,0.0,43.0,43.0
17,17.0,じょうをふりバターをのせて完成!,False,False,0.0,43.5,43.5
18,18.0,こしょうをふりパターをのせて完成!,False,False,0.0,44.0,44.5
