,stepNo,text,useStove,leavable,duration,start,end
0,0.0,湯を沸かす,False,False,0.0,4.0,5.0
1,1.0,カツー-150g,False,False,0.0,6.5,6.5
2,2.0,カッペリーニ150g,False,False,0.0,7.0,7.0
3,3.0,袋の表記通り茹でる,False,False,0.0,8.0,9.5
4,4.0,水気を切り冷まして冷蔵庫に入れる,False,False,0.0,10.5,11.5
5,5.0,玉ねぎ1/2個,False,False,0.0,12.5,13.0
6,6.0,薄切りにして水につける,False,False,0.0,14.0,15.0
7,7.0,水にさらして水気を切る,False,False,0.0,16.0,17.0
8,8.0,セロリ1本,False,False,0.0,18.0,18.0
9,9.0,食べやすい大きさに切る,False,False,0.0,19.0,20.5
10,10.0,ルッコラ1袋,False,False,0.0,22.0,22.0
11,11.0,根元を切り落とし食べやすい大きさに切る,False,False,0.0,23.5,24.5
12,12.0,レモン汁大さじ1,False,False,0.0,25.5,26.5
13,13.0,オリーブオイル大さじ2,False,False,0.0,27.5,29.0
14,14.0,小さじ1/2,False,False,0.0,30.0,30.5
15,15.0,こしょう,False,False,0.0,31.5,32.5
16,16.0,混ぜる,False,False,0.0,33.5,35.0
17,17.0,セロリを入れる,False,False,0.0,36.0,36.5
18,18.0,玉ねぎを加える,False,False,0.0,38.0,38.5
19,19.0,ルッコラを加える,False,False,0.0,39.5,40.5
20,20.0,混ぜて味を馴染ませる,False,False,0.0,42.0,43.5
21,21.0,生ハム50g,False,False,0.0,44.5,45.5
22,22.0,混ぜる,False,False,0.0,46.5,47.0
23,23.0,カッペリーニを加える,False,False,0.0,48.5,49.5
24,24.0,混ぜ合わせて完成!,False,False,0.0,50.5,52.0
