,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ねぎ112本,False,False,0.0,3.5,4.5
1,1.0,斜め薄切りにする,False,False,0.0,5.0,7.0
2,2.0,豚バラ80g,False,False,0.0,8.5,9.5
3,3.0,食べやすい大きさに切る,False,False,0.0,10.5,12.5
4,4.0,ごま油大さじ1/2,False,False,0.0,13.5,14.5
5,5.0,豚肉を入れる,False,False,0.0,16.0,17.0
6,6.0,キムチ70g,False,False,0.0,18.0,19.0
7,7.0,色がつくまで中火で炒める,False,False,0.0,20.0,21.0
8,8.0,300cc,False,False,0.0,22.0,23.5
9,9.0,煮立たせる,False,False,0.0,24.0,25.0
10,10.0,うどん1玉,False,False,0.0,25.5,26.5
11,11.0,ねぎを加える,False,False,0.0,28.0,28.5
12,12.0,めんつゆ大さじ2(3倍濃縮),False,False,0.0,29.5,30.5
13,13.0,うどんの表記時間通りゆでる,False,False,0.0,31.5,33.5
14,14.0,ピザ用チーズ20g,False,False,0.0,35.0,36.5
15,15.0,ふたをする,False,False,0.0,37.5,38.5
16,16.0,チーズが溶けるま弱火で煮る,False,False,0.0,39.0,39.0
17,17.0,盛り付けて完成!,False,False,0.0,42.0,43.0
18,18.0,り付けて完F1,False,False,0.0,43.5,43.5
