,stepNo,text,useStove,leavable,duration,start,end
0,0.0,水菜/2袋,False,False,0.0,4.0,4.5
1,1.0,根元を切り落として一口大に切る,False,False,0.0,5.5,7.0
2,2.0,プロセスチーズ3個,False,False,0.0,8.0,8.5
3,3.0,角切りにする,False,False,0.0,9.0,10.5
4,4.0,砂小さじ1,False,False,0.0,12.0,13.0
5,5.0,酢小さじ2,False,False,0.0,14.0,15.0
6,6.0,しょうゆ小さじ2,False,False,0.0,16.0,17.0
7,7.0,おろしんにく小さE1/4,False,False,0.0,18.0,19.0
8,8.0,鶏ガラスープの素ひとつまみ,False,False,0.0,19.5,21.0
9,9.0,ごま油大さじ1,False,False,0.0,22.0,23.5
10,10.0,混ぜる,False,False,0.0,24.5,26.0
11,11.0,水菜を加える,False,False,0.0,27.0,28.5
12,12.0,プロセスチーズを加える,False,False,0.0,29.0,30.0
13,13.0,さっと混ぜる,False,False,0.0,30.5,32.0
14,14.0,器に盛りつ(,False,False,0.0,33.5,33.5
15,15.0,韓国のり,False,False,0.0,35.5,37.0
