,stepNo,text,useStove,leavable,duration,start,end
0,0.0,さつまいも1/2本(約200g),False,False,0.0,4.0,5.0
1,1.0,よく洗い一口大に切る,False,False,0.0,6.5,8.5
2,2.0,水にさらし水気を切る,False,False,0.0,9.5,11.0
3,3.0,ふんわりとラップをする,False,False,0.0,12.0,13.5
4,4.0,600Wの,False,False,0.0,14.5,14.5
5,5.0,|600Wのレンジで!2分,False,False,2.0,15.0,15.5
6,6.0,ケーキ生地卵,False,False,0.0,16.5,17.5
7,7.0,",illケーキ生地牛20cc",False,False,0.0,20.5,22.5
8,8.0,ケーキ生地砂糖大さじ1,False,False,0.0,23.0,23.0
9,9.0,linnケーキ生地混ぜる,False,False,0.0,26.5,26.5
10,10.0,ケーキ生地混ぜる,False,False,0.0,27.0,27.0
11,11.0,砂糖50g,False,False,0.0,47.5,56.0
12,12.0,中火でふつふつとさせる,False,False,0.0,57.0,57.5
13,13.0,さつまい毛る,False,False,0.0,58.5,76.0
14,14.0,中火で混ぜなあら分熱し火をと。,False,False,0.0,76.5,80.0
15,15.0,黒いりごま小さじ2,False,False,0.0,80.5,81.0
16,16.0,ギ生地を流す,False,False,0.0,86.0,86.0
17,17.0,ケーキ生地を流す,False,False,0.0,86.5,91.5
18,18.0,おして完成,False,False,0.0,92.0,92.0
19,19.0,をしたおいて完成,False,False,0.0,92.5,92.5
