,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ほうれん草1袋(200g),False,False,0.0,3.5,4.0
1,1.0,4cm幅に切る,False,False,0.0,5.0,7.5
2,2.0,耐熱容器に入れる,False,False,0.0,8.5,9.5
3,3.0,水(分量外:大さじ1)を入れる,False,False,0.0,10.5,12.0
4,4.0,ふんわりとラップをする,False,False,0.0,13.0,13.0
5,5.0,600Wのレンジで3分,False,False,3.0,15.0,15.0
6,6.0,水にさ水気をしぼる,False,False,0.0,16.0,17.5
7,7.0,1袋(100g),False,False,0.0,18.5,19.0
8,8.0,根元を切り落とす,False,False,0.0,20.0,21.5
9,9.0,食べやすい大きさにほぐす,False,False,0.0,22.5,23.5
10,10.0,鶏もも肉150g,False,False,0.0,25.0,25.5
11,11.0,一口大に切る,False,False,0.0,26.0,28.0
12,12.0,サラッ油小さじ2,False,False,0.0,29.0,30.0
13,13.0,鶏肉を入れる,False,False,0.0,31.0,32.0
14,14.0,中火で炒めて火を通す,False,False,0.0,33.0,34.5
15,15.0,しめじをえる,False,False,0.0,36.0,37.0
16,16.0,しんなりとするまで炒める,False,False,0.0,38.0,40.0
17,17.0,ほうれん草を加える,False,False,0.0,41.0,42.0
18,18.0,まと炒め合わせる,False,False,0.0,43.0,44.5
19,19.0,みそマヨソースみそ大さじ1,False,False,0.0,46.0,47.0
20,20.0,しみそマヨソース,False,False,0.0,51.5,51.5
21,21.0,みそマヨソースこしょう少々,False,False,0.0,52.0,53.5
22,22.0,1みそマヨソース,False,False,0.0,54.0,54.0
23,23.0,みそマヨソース混ぜる,False,False,0.0,54.5,56.0
24,24.0,鶏肉を盛る,False,False,0.0,57.0,58.0
25,25.0,ほうれん草としめじをのせる,False,False,0.0,59.0,60.0
26,26.0,みそマヨソースをのせる,False,False,0.0,61.0,62.0
27,27.0,ピザ用チーズ50g,False,False,0.0,63.0,63.5
28,28.0,トースターで,False,False,0.0,65.5,65.5
29,29.0,細ねぎ適量(刻み),False,False,0.0,69.0,69.5
