,stepNo,text,useStove,leavable,duration,start,end
0,0.0,きゅうり1本,False,False,0.0,4.0,4.5
1,1.0,ヘタを切り落とす,False,False,0.0,5.5,7.5
2,2.0,ピーラーで縦薄切りにする,False,False,0.0,8.5,10.5
3,3.0,大葉4枚1,False,False,0.0,11.5,12.5
4,4.0,みじん切りにする,False,False,0.0,13.5,14.5
5,5.0,調味料1砂糖大さじ1/2,False,False,0.0,17.5,18.5
6,6.0,調味料,False,False,0.0,19.0,19.5
7,7.0,調味料塩小さじ1/31,False,False,0.0,20.0,21.0
8,8.0,調味料,False,False,0.0,21.5,21.5
9,9.0,調味料酢大さじ3,False,False,0.0,22.0,23.0
10,10.0,調味料,False,False,0.0,23.5,24.0
11,11.0,調味料混ぜる,False,False,0.0,24.5,25.5
12,12.0,調味料を加える,False,False,0.0,30.0,32.0
13,13.0,1大葉を加える,False,False,0.0,33.5,34.5
14,14.0,白いりごま適量,False,False,0.0,35.5,36.5
15,15.0,混,False,False,0.0,38.0,38.5
16,16.0,混ぜる,False,False,0.0,39.0,39.0
17,17.0,ラップをしく,False,False,0.0,42.5,42.5
18,18.0,では左をのせ,False,False,0.0,44.0,44.0
19,19.0,ごはん壱のせる,False,False,0.0,44.5,45.0
20,20.0,包んで丸く成形する,False,False,0.0,46.0,49.5
21,21.0,側面をきゅうりで包む,False,False,0.0,50.5,53.5
22,22.0,40g,False,False,0.0,54.5,55.0
23,23.0,いくら40g,False,False,0.0,55.5,56.0
24,24.0,白いりごまをのせて完成!,False,False,0.0,57.5,58.5
