,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ブロッコリ1/2株(200g),False,False,0.0,5.0,5.5
1,1.0,食べやすい大きさに切る,False,False,0.0,7.0,8.0
2,2.0,ソーセージ4本,False,False,0.0,9.5,11.0
3,3.0,斜め切りにする,False,False,0.0,12.0,13.5
4,4.0,にんにく1かけ,False,False,0.0,15.0,15.5
5,5.0,薄切りにする,False,False,0.0,16.5,18.0
6,6.0,湯をわかす,False,False,0.0,19.0,20.0
7,7.0,スパゲティ200g,False,False,0.0,20.5,21.5
8,8.0,袋の表記時間通りゆでる,False,False,0.0,22.0,23.0
9,9.0,ゆで上がりの2分前にロッコリーを加える,False,False,2.0,23.5,26.0
10,10.0,ゆで汁(120cc)をとっておく,False,False,0.0,27.0,31.5
11,11.0,水気を切る,False,False,0.0,33.0,34.0
12,12.0,バ20g,False,False,0.0,35.5,36.5
13,13.0,大さじ2,False,False,0.0,38.0,38.0
14,14.0,リーブオイし大さじ2,False,False,0.0,38.5,39.5
15,15.0,にんにくを加える,False,False,0.0,41.0,42.0
16,16.0,唐辛子(輪切り)小さじ1,False,False,0.0,43.5,44.5
17,17.0,香りがたつまで弱火で熱する,False,False,0.0,45.5,48.0
18,18.0,-セージを加え,False,False,0.0,49.0,49.0
19,19.0,セージ壱加える,False,False,0.0,50.5,50.5
20,20.0,混ぜる,False,False,0.0,52.0,53.0
21,21.0,パゲティとコリーを加えるロatt,False,False,0.0,54.5,54.5
22,22.0,スパゲティとッコリーを加える,False,False,0.0,55.0,55.5
23,23.0,を加える,False,False,0.0,56.0,56.5
24,24.0,っと中火で炒め,False,False,0.0,57.5,59.5
25,25.0,で汁を加える,False,False,0.0,60.5,62.0
26,26.0,しょうゆじ2,False,False,0.0,63.5,64.0
27,27.0,しょうゆ天さじ2,False,False,0.0,64.5,64.5
28,28.0,塩こしょう,False,False,0.0,66.5,66.5
29,29.0,混ぜ合わせて完成,False,False,0.0,68.5,69.0
